id,gender,age_ys_s1,age_ys_s3,children,lang_sg,lang_fr,lang_it,lang_en,lang_esp,lang_other,lang_other_spec,marital_status,main_occ,education,income,assets,debts
05zds,female,19.56,19.67,0,1,0,0,0,0,0,-9999,1,1,7,0,2,0
07wj6,female,60.18,60.2,3,1,0,0,0,0,0,-9999,4,2,6,3,7,0
0i8rx,male,70.06,70.11,2,1,0,0,0,0,0,-9999,3,5,8,0,0,1
0oss0,male,69.46,69.51,0,1,0,0,0,0,0,-9999,1,5,8,3,8,8
0wpbe,female,55.08,55.13,5,1,0,0,0,0,0,-9999,3,2,10,4,8,1
0y2xh,female,70.86,NA,0,1,0,0,0,0,0,-9999,1,5,7,0,0,0
18dlb,female,33.68,33.72,0,1,0,0,0,0,0,-9999,1,4,10,3,5,0
1codz,male,17.37,17.41,0,1,0,0,0,0,0,-9999,1,2,3,1,1,0
1eagv,male,18.8,18.83,0,1,0,0,0,0,0,-9999,1,3,7,1,2,1
1x78r,male,74.89,74.95,1,1,0,0,0,0,0,-9999,3,5,2,3,8,1
1ycc1,female,39.67,39.71,0,1,0,0,0,0,0,-9999,1,2,8,3,3,2
1zi3s,female,62,62.02,1,1,0,0,0,0,0,-9999,3,2,5,7,8,8
1zkii,male,19.8,19.87,0,1,1,0,0,0,0,-9999,2,1,10,2,4,0
28aqw,female,34.18,34.22,0,1,0,0,0,0,0,-9999,2,2,6,4,6,0
2bwmd,male,26.01,26.09,0,0,0,0,0,0,1,polnisch,1,1,10,1,2,1
2nmr6,male,26.09,26.19,0,1,0,0,0,0,0,-9999,1,2,8,4,3,1
2pfiy,female,16.96,17.09,0,1,0,0,1,0,0,-9999,2,1,3,1,1,1
2rgd0,female,22.23,22.27,0,1,0,0,0,0,0,-9999,2,1,7,1,4,1
2vszu,male,71.2,71.25,2,1,0,0,0,0,0,-9999,3,5,10,3,8,8
308qp,female,34.25,34.29,0,1,0,0,1,0,0,-9999,1,2,10,3,1,1
3345j,female,31.41,31.45,1,1,0,0,0,0,0,-9999,1,2,6,3,3,2
3koq0,male,21.54,21.56,0,1,1,0,1,0,0,-9999,1,1,7,1,3,1
3lwnu,male,74.1,74.15,1,1,0,0,0,0,0,-9999,3,5,8,5,7,1
3o4up,male,71.82,71.87,2,1,0,0,0,0,0,-9999,3,5,10,6,8,8
48uu8,female,66.75,66.77,0,1,0,0,0,0,0,-9999,1,5,8,6,8,8
4ct26,female,23.76,23.9,0,1,0,0,0,0,0,-9999,2,1,10,1,3,1
4fsra,female,76.37,76.49,2,1,0,0,0,0,0,-9999,3,5,7,2,8,1
4krz4,female,19.3,19.38,0,1,0,0,0,0,0,-9999,1,1,3,1,4,0
50v87,male,30.64,NA,0,1,0,0,0,0,0,-9999,2,2,6,3,1,4
5ir67,male,33.48,33.54,0,1,0,0,0,0,0,-9999,1,1,10,2,5,1
6k05w,male,20.33,20.41,0,1,0,0,0,0,0,-9999,1,1,7,1,3,0
6ukjc,female,80.63,80.8,3,0,0,0,0,0,0,-9999,3,5,6,4,6,0
710xt,male,65.32,65.4,3,1,0,0,0,0,0,-9999,3,5,8,5,8,8
729dc,female,66.26,66.34,0,1,0,0,0,0,0,-9999,4,5,10,4,8,1
75hrf,female,49.46,49.55,0,1,0,0,0,0,0,-9999,4,2,5,0,0,0
7dfnm,male,53.64,53.71,1,0,0,0,0,1,0,-9999,3,2,6,5,8,8
7gcjm,male,65.87,65.91,2,1,0,0,0,0,0,-9999,3,5,10,3,8,7
7hgj7,female,24.13,24.2,0,0,0,0,0,0,1,Serbisch,1,1,7,2,1,1
7jwhv,female,20.86,20.88,0,1,0,0,1,0,0,-9999,1,1,7,1,3,1
7k63d,female,64.71,64.88,1,1,0,0,0,0,0,-9999,3,5,10,3,8,1
7lowo,male,66.36,66.4,2,1,0,0,0,0,0,-9999,3,5,10,5,8,1
7pfa7,female,53.53,53.54,0,1,0,0,0,0,0,-9999,1,2,7,3,2,1
86tkn,male,28.55,28.56,0,1,0,0,0,0,1,Serbisch,3,1,7,2,5,3
8dif7,male,52.03,52.1,2,1,0,0,0,0,0,-9999,3,2,8,5,8,1
8dp7d,male,51.2,51.26,1,1,0,0,0,0,0,-9999,3,2,6,2,8,8
8fvat,female,62.71,62.75,2,1,0,0,0,0,0,-9999,3,5,8,3,7,1
8g0yu,male,80.48,80.52,3,1,0,0,0,0,0,-9999,3,5,3,5,1,1
8jkgj,male,50.64,50.66,0,1,0,1,0,0,0,-9999,1,2,6,2,6,0
8nz8d,female,61.91,62.01,2,1,1,0,0,0,0,-9999,3,2,4,2,7,1
8shbg,female,28.18,28.23,0,1,0,0,0,0,0,-9999,2,2,9,4,4,1
92r8q,female,52.34,52.38,4,1,0,0,0,0,0,-9999,3,2,10,2,8,1
93a79,male,27.5,27.56,0,1,0,0,1,0,0,-9999,1,2,6,4,2,1
93otj,male,64.12,64.15,2,1,0,0,0,1,0,-9999,3,2,10,7,8,8
9ai4y,female,55.54,55.6,0,1,0,0,0,0,0,-9999,2,2,10,3,4,1
9d0qi,female,60.57,60.63,3,1,0,0,0,0,0,-9999,2,2,6,4,6,1
9feqd,female,19.95,20.03,0,1,1,0,0,0,1,Russisch,2,1,6,1,1,1
9khsp,male,73.22,73.28,2,1,0,0,0,0,0,-9999,3,5,6,4,8,8
9p6ed,female,57.69,57.73,2,1,0,0,0,0,0,-9999,3,3,10,4,8,8
9u6ge,female,17.09,17.16,0,1,0,0,0,0,0,-9999,1,1,3,1,2,1
9w1z1,female,17.55,17.58,0,1,0,0,0,0,0,-9999,2,1,4,1,2,1
9x404,male,17.69,17.75,0,1,0,0,0,0,0,-9999,1,1,3,1,1,0
a3hpj,female,33.71,33.75,0,1,0,0,0,0,0,-9999,1,1,9,2,3,1
a4bah,female,19.28,19.32,0,1,0,0,0,0,0,-9999,1,1,7,2,4,1
ai12t,female,31.19,31.25,0,1,0,0,1,0,0,-9999,1,2,10,2,6,0
as8uq,male,70.58,70.68,1,1,0,0,0,0,0,-9999,3,5,10,6,7,1
axr1v,male,20.2,20.23,0,1,0,0,1,0,0,-9999,1,1,7,1,4,1
bjchh,male,63.98,64.02,1,1,0,0,0,0,0,-9999,2,2,6,3,1,8
bustq,male,19.62,NA,0,1,0,0,0,0,0,-9999,1,1,4,1,1,1
bz14f,female,56.85,56.95,2,1,0,0,0,0,0,-9999,2,2,6,3,8,8
c5w6y,female,26.49,26.54,0,1,0,0,0,0,0,-9999,2,1,10,2,5,1
ccwa7,male,74.62,74.69,4,1,0,0,0,0,0,-9999,3,5,6,5,8,1
ceiez,female,67.61,67.65,2,1,0,0,0,0,0,-9999,3,5,9,3,8,5
cs9ej,female,62.97,62.99,2,1,0,0,0,0,0,-9999,3,5,10,5,8,1
cuggr,male,35.28,35.33,2,1,0,0,0,0,0,-9999,1,2,3,2,4,7
d5njy,female,31.26,31.3,0,1,0,0,0,0,0,-9999,2,1,10,2,6,0
dgexv,female,27.89,27.91,0,1,0,0,0,0,0,-9999,1,2,9,3,2,1
dhnen,male,18.95,18.96,0,0,0,0,0,0,1,Kurdisch,2,1,3,0,0,0
dkypf,female,24.96,24.99,0,1,0,0,0,0,0,-9999,1,4,6,4,2,2
dl9l2,male,20.98,21.02,0,1,0,0,1,0,0,-9999,2,1,7,2,5,1
emdt4,male,35.88,35.99,0,1,0,0,0,0,0,-9999,1,2,10,5,4,3
eme40,male,60.3,60.37,3,1,0,0,0,0,0,-9999,3,2,9,2,7,1
eo96j,male,65.63,65.66,2,1,0,0,0,0,0,-9999,3,5,8,5,8,1
eq4sk,female,21.61,21.66,0,1,0,0,0,0,0,-9999,1,1,7,2,4,1
f3wlt,male,17.73,17.79,0,1,0,0,0,0,0,-9999,1,1,7,1,2,1
f9d6j,male,35.6,35.65,0,1,0,0,0,0,0,-9999,1,2,10,3,3,2
fayc7,female,68.4,68.43,2,1,0,0,0,0,0,-9999,5,5,4,2,4,1
g0vr6,male,66.28,66.32,1,1,0,0,0,0,0,-9999,2,5,6,5,7,1
gh664,male,23.7,23.72,0,1,0,0,0,0,0,-9999,2,1,7,2,4,1
gmng,male,22.06,22.09,0,1,0,0,0,1,0,-9999,2,1,7,1,4,1
gnyiv,male,57.76,57.97,1,1,0,0,0,0,0,-9999,1,3,6,6,8,1
h6clg,female,48.88,48.92,0,1,0,0,0,0,0,-9999,1,2,6,2,7,0
h6vaq,female,38.87,38.94,0,0,0,0,0,0,1,Koreanisch,1,2,10,2,7,1
hab20,male,20.17,20.27,0,1,0,0,0,0,0,-9999,2,1,7,1,2,1
hahgk,female,51.52,51.56,1,0,0,0,0,1,0,-9999,3,3,10,1,8,8
hb4fe,male,47,47.02,1,1,0,0,0,0,0,-9999,3,2,6,4,7,2
hgghw,male,19.13,19.28,0,0,0,0,0,0,1,T체rkisch ,1,1,6,1,2,1
hgx8z,female,45.15,45.2,1,1,0,0,0,0,1,Holl채ndisch,3,4,6,1,7,1
hmcog,female,70.38,70.42,2,0,0,0,0,0,1,Niederlaendisch,3,5,7,1,5,1
htz1l,male,36.56,36.59,0,1,0,0,0,0,0,-9999,1,2,6,3,3,0
hvzc3,female,67.57,67.76,3,1,0,0,0,0,0,-9999,3,5,8,2,2,1
hzw8w,male,31.11,31.17,0,1,0,0,0,0,0,-9999,1,1,10,2,3,1
i5n1e,male,81.38,81.48,2,1,0,0,0,0,0,-9999,5,5,6,3,6,1
i8bx5,male,47.12,47.2,0,1,0,0,0,0,0,-9999,3,2,10,2,1,5
inqjo,female,32.2,32.27,0,1,0,0,0,0,0,-9999,2,2,8,4,4,2
insir,male,35.04,35.21,0,1,0,0,0,0,0,-9999,1,4,10,2,2,1
iv9hp,female,16.15,16.22,0,0,0,0,1,0,0,-9999,1,1,3,1,2,1
iww4g,male,33.13,33.21,0,0,0,0,0,0,1,russisch,1,4,10,1,1,1
j24y0,male,49.99,50.07,0,1,0,0,0,0,0,-9999,2,2,9,4,7,1
j2f2p,female,33.49,33.53,2,0,0,0,0,0,1,Russisch,3,1,10,2,2,1
jbzsy,female,54.3,54.32,2,1,0,0,0,0,0,-9999,2,2,8,3,4,0
jh6y7,female,19.21,19.25,0,1,0,0,0,0,0,-9999,1,2,7,0,1,0
jjgta,female,43.83,43.9,2,1,0,0,0,0,0,-9999,4,2,6,4,7,2
jjln9,female,45.87,45.91,2,0,1,0,0,0,0,-9999,7,1,10,2,3,0
jopv5,female,75.5,75.69,0,1,0,0,0,0,0,-9999,1,5,6,3,5,3
jqa4t,male,68.06,68.15,1,1,0,0,0,0,0,-9999,3,5,6,4,8,8
k1d8d,male,62.49,62.51,1,1,0,0,0,0,0,-9999,4,2,8,5,8,1
knrlg,female,56.41,56.46,1,1,0,0,0,0,0,-9999,4,2,8,4,7,1
kt6bm,female,28.59,28.64,0,1,0,0,0,0,0,-9999,2,1,6,2,2,3
kwthz,male,18.9,NA,0,1,0,0,0,0,0,-9999,1,1,3,1,3,1
kzkzc,male,55.6,NA,0,1,0,0,0,0,0,-9999,1,5,6,1,3,2
l7989,male,75.85,75.9,2,1,0,0,0,0,0,-9999,3,5,10,3,8,1
lj0cp,male,41.9,41.95,1,1,0,0,0,0,0,-9999,3,2,7,4,1,6
lkt4j,female,22.54,22.56,0,1,0,0,0,0,0,-9999,1,1,10,1,5,0
lrjys,male,61.53,61.55,2,1,0,0,0,0,0,-9999,3,2,4,4,7,0
ltyf2,male,34.32,34.37,0,1,0,0,0,0,0,-9999,3,2,6,3,6,7
ltzmu,male,39.23,39.29,2,1,0,0,0,0,0,-9999,3,2,10,6,8,8
lya1e,female,30.78,30.8,0,1,0,0,0,0,0,-9999,2,4,10,1,1,3
m0095,female,63.9,63.96,2,1,0,0,0,0,0,-9999,3,2,7,3,8,1
mjf5t,female,47.15,47.21,0,1,0,0,0,0,0,-9999,1,2,8,5,8,1
mjxiu,male,69.21,69.35,1,1,0,0,0,0,0,-9999,3,5,6,1,0,0
n4vnl,male,26.77,26.79,0,1,0,0,0,0,0,-9999,2,1,10,2,2,0
nbklx,male,73.05,73.07,2,1,0,0,0,0,0,-9999,3,5,10,6,8,8
nq39j,female,71.75,71.83,2,1,0,0,0,0,0,-9999,5,5,7,4,8,8
nsa0l,male,31.26,31.28,0,1,0,0,0,0,0,-9999,1,2,9,4,5,4
nyqxv,male,77.98,78.09,2,1,0,0,0,0,0,-9999,3,5,9,6,8,1
o144u,male,51.26,51.37,4,1,0,0,0,0,0,-9999,3,2,5,4,6,1
o4p01,female,62.7,62.79,2,1,0,1,0,0,0,-9999,4,5,6,1,8,1
oivkl,male,48.65,48.7,2,1,0,0,0,0,0,-9999,3,2,6,4,7,2
ojsw9,female,41.57,41.6,0,1,0,0,0,0,1,Niederl채ndisch,3,2,8,4,3,1
olcpz,female,20.74,20.77,0,1,0,0,0,0,0,-9999,2,2,6,3,6,1
opcg6,male,25.12,25.18,0,1,0,0,0,0,0,-9999,2,1,7,1,3,0
opl8a,female,19.52,19.67,0,1,0,0,0,0,0,-9999,2,1,8,1,1,1
paa9k,male,55.17,55.22,1,1,0,0,0,0,0,-9999,3,2,8,5,7,1
pi7ny,female,29.13,29.17,1,1,0,0,0,0,0,-9999,2,1,10,2,2,1
pzgm3,female,44.38,44.4,0,1,0,0,0,0,0,-9999,2,1,10,2,3,1
qi9ld,female,35.63,35.66,0,1,0,0,0,0,0,-9999,1,2,10,2,2,1
qzt5d,female,76.07,76.26,2,1,1,0,1,0,0,-9999,3,5,3,2,7,1
r464x,male,50.02,50.07,3,1,0,0,0,0,0,-9999,3,2,10,4,8,8
r48az,male,53.04,53.07,4,1,1,0,0,0,0,-9999,2,2,10,2,5,0
r7ey3,male,37.64,37.71,1,1,0,0,1,0,0,-9999,3,2,10,3,8,1
rdalr,male,23.91,23.94,0,1,0,0,0,0,0,-9999,2,1,7,2,5,1
rdrfp,female,34.39,34.43,0,1,0,0,0,0,0,-9999,1,2,10,4,6,4
rf9p6,female,49.14,49.19,1,0,0,0,0,0,1,polnisch,3,3,7,4,8,6
rpgbj,male,75.42,75.49,1,1,0,0,1,0,1,D채nisch,3,5,9,4,8,1
rpjw2,female,70.47,70.57,0,1,0,0,0,0,0,-9999,3,5,6,7,8,1
rsitg,female,51.73,51.8,2,1,0,0,0,0,0,-9999,2,2,6,3,7,1
rxe83,female,18.21,18.23,0,1,0,0,0,0,0,-9999,1,1,7,1,4,1
s2ik6,male,45.12,45.16,0,0,0,1,0,0,0,-9999,1,2,3,2,1,8
sadiq,female,72.14,72.18,3,1,0,0,0,0,0,-9999,5,5,4,7,8,0
sxgux,female,19.42,19.52,0,1,0,0,1,0,0,-9999,2,1,3,1,1,1
t4p2a,female,42.78,42.87,0,1,0,0,0,0,0,-9999,3,2,8,4,8,8
t8leg,female,25.68,25.71,0,1,0,0,0,0,0,-9999,1,1,10,0,6,0
tetwh,male,63.93,63.99,2,1,0,0,0,0,0,-9999,3,5,8,4,8,1
tgvti,male,27.63,27.68,0,1,0,0,0,0,0,-9999,1,2,7,4,5,1
tkvo8,male,24.69,24.71,0,0,0,0,1,0,0,-9999,1,1,10,2,6,0
tozmj,male,19.51,19.56,0,1,0,0,0,0,0,-9999,1,1,4,1,7,1
u5ou5,male,70.72,70.8,0,1,1,0,0,0,0,-9999,3,5,9,6,8,8
u5y46,male,45.13,45.17,0,1,0,0,0,0,0,-9999,1,2,8,4,7,1
udav0,male,62.32,62.44,2,1,0,0,0,0,0,-9999,4,5,6,4,8,1
uhv2o,female,51.64,51.72,2,0,0,0,0,0,1,serbisch,4,4,6,2,2,3
uj8s2,male,24.69,24.77,0,1,0,0,0,0,0,-9999,1,1,7,2,2,1
uo69g,male,54.28,54.32,2,1,0,0,0,0,0,-9999,3,2,6,6,8,8
v5z5f,female,18.82,18.86,0,1,0,0,0,0,0,-9999,1,1,7,1,4,0
v8lcl,female,17.54,17.6,0,1,0,0,0,0,1,portugiesisch,2,2,7,2,4,0
vdg3m,male,49.74,49.78,0,1,0,0,0,0,0,-9999,1,2,10,4,8,1
vew3l,female,58.56,58.58,2,1,0,0,0,0,0,-9999,3,2,8,1,8,0
vjfcr,female,65.73,65.77,2,1,0,0,0,0,0,-9999,3,5,10,2,8,6
vmlyc,female,45.74,45.77,0,1,0,0,1,0,0,-9999,4,3,10,2,1,8
vpmyf,male,60.27,60.31,1,1,0,1,1,0,0,-9999,3,2,10,7,8,8
w5zs,female,25.14,25.21,0,1,0,0,0,0,0,-9999,1,1,10,2,5,0
whkno,male,16.21,16.32,0,1,0,0,0,0,0,-9999,1,1,7,0,0,0
whvwv,female,67.55,67.59,0,1,0,0,0,0,0,-9999,4,5,5,4,8,8
wjowk,female,75.05,75.1,2,1,0,0,0,0,0,-9999,4,5,6,3,8,1
x0ehw,female,56.06,56.16,1,1,0,0,0,0,0,-9999,2,2,6,3,1,1
x6994,female,38.59,38.66,0,0,0,0,0,0,1,Koreanisch,1,2,10,3,7,1
x70sm,male,32.1,32.23,0,1,0,0,0,0,0,-9999,2,2,10,3,8,1
x9lh0,male,46.33,46.37,0,1,0,0,0,0,0,-9999,3,2,5,4,6,3
xixjx,female,66.22,NA,2,0,0,0,0,0,1,schwedish,3,5,8,6,8,4
xsi0e,female,50.18,50.21,2,1,0,0,0,0,0,-9999,2,2,10,5,7,1
xvnpv,female,61.86,61.99,3,1,0,0,0,0,0,-9999,4,2,10,3,3,1
xxzfw,male,42.09,42.34,0,1,0,0,0,0,0,-9999,1,2,9,3,6,1
xz00c,male,29.48,29.5,0,1,0,0,0,0,0,-9999,2,2,10,4,8,1
y6pi7,female,61.1,61.13,0,1,0,0,0,0,0,-9999,4,5,8,2,8,1
y6smm,male,74.24,74.28,2,1,0,0,0,0,0,-9999,3,5,9,5,8,1
yhb2q,male,53.11,53.18,1,1,0,0,0,0,0,-9999,2,2,8,6,8,1
yi5hu,female,24.51,24.56,0,1,0,0,0,0,1,Portugiesisch,2,1,10,2,3,1
ypd30,female,21,21.03,0,1,0,0,0,0,0,-9999,1,1,7,1,3,1
ys0pg,male,23.46,23.52,0,1,0,0,0,0,0,-9999,2,2,6,3,6,1
zj4pg,female,49.02,49.09,2,0,0,0,0,0,1,NL,2,2,5,3,5,2
zwkcy,female,71.51,71.64,3,1,0,0,0,0,0,-9999,5,5,8,4,7,1
