id,comment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,
05zds,,katze,meerschweinchen,hund,affe,nilpferd,elefant,godzilla,tiger,loewe,gepard,krokodil,echse,ameise,papagei,vogel,moewe,walross,wal,delfin,muschel,schwertfisch,hund,maus,ziege,schaf,hirtenhund,kuh,murmeltier,wolf,baer,braunbaer,schwarzbaer,amsel,meise,drossel,fink,star,labrador,ratte,kellerassel,schmetterling,specht,pavian,gorilla,luchs,fischkatze,dromedar,kamel,lama,huehner,hahn,schwein,gazelle,wasserbueffel,otter,wiesel,frettchen,hase,kaninchen,goldfisch,chinchilla,pinguin,eisbaer,ente,gans,,,,,,,,,,,,,,,,,,,,,,,
07wj6,,hund,katze,kuh,ross,huhn,gaense,elefanten,nashorn,tiger,loewe,schlange,kaefer,pinguin,fisch,krebs,schlange,seehund,papagei,kanarienvogel,wellensittich,spatz,amsel,drossel,fink,star,maus,ratte,regenwurm,schnecke,baer,eisbaer,braunbaer,kamel,ross,pony,nashorn,elefant,flamingo,storch,seeschlange,tintenfisch,goldfisch,bueffel,giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0i8rx,,hund,katze,kuh,pferd,esel,igel,schnecke,eichhoernchen,reh,luchs,dachs,tiger,loewe,hyaene,leopard,gepard,haifisch,walfisch,tintenfisch,skorpion,schlange,vogel,erdmaennchen,elefant,giraffe,nashorn,krokodil,flusspferd,antilope,kamel,giraffe,hase,hund,blindschleiche,maus,ratte,tintenfisch,muecke,kolibri,vogel strauss,ente,emu,eisbaer,braunbaer,schwarzbaer,lachs,forelle,stoer,spinne,moewe,qualle,wespe,biene,fliege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0oss0,,hund,katze,pferd,kuh,esel,dromedar,kamel,schlange,vogel,tiger,loewe,hyaene,fuchs,dachs,wiesel,eichhoernchen,marder,fisch,wal,hai,delfin,orka,schwertwal,hammerhai,forelle,bakterie,wurm,fliege,hummel,biene,wespe,eisbaer,wolf,mammut,pinguin,orangutan,schimpanse,affe,krokodil,schnecke,qualle,moewe,hecht,forelle,schwalbe,spatz,fink,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0wpbe,,krabbe,schnecke,wal,fisch,vogel,amsel,drossel,fink ,star,kuh,schwein,pferd,maus,ratte,laus,esel,elefant,giraffe,delfin,forelle,lachs,zander,seibling,wuestenmaus,schlange,kobra,wuergeschlange,anakonda,bakterien,hase,esel,ziege,schaf,hund,katze,maus,igel,maulwurf,spinne,schnake,fliege,wurm,regenwurm,bandwurm,grille,nashorn,ruesselbaer,nasenbaer,beutelratte,kaenguru,zebra,gnu,antilope,braunbaer,grizzly,schwein,meerschweinchen,zwerghase,kaninchen,kolibri,nachtigall,goldfisch,eichhoernchen,fledermaus,flughund,gorilla,schimpanse,beutelratte,nilpferd,elefant,kuh,stier,reh,hirsch,fuchs,dachs,luchs,schimpanse,rhesusaffe,,,,,,,,,
0y2xh,,wildtiere,waldtiere,hasen,katzen,hunde,pferde,affen,primaten,gorillas,orangutans,elefanten,ziegen,geissen,kuehe,hamster,zwerghamster,ratten,maeuse,voegel,papageien,nymphensittiche,wellensittiche,kanarienvogel,milan,raben,fuchs,wolf,rehe,hirsche,schlangen,echsen,geckos,eidechsen,leguane,kamele,dromedare,esel,yaks,gnus,zebus,koala,wombats,wuestenmaeuse,frettchen,nerze,nutria,dogge,schaeferhund,wolfshund,pudel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18dlb,,fuchs,hase,hund,katze,tiger,loewe,zebra,walross,eisbaer,braunbaer,affe,pferd,esel,kaninchen,schwein,kuh,ochse,schmetterling,ameise,raupe,vogel,eichhoernchen,meerschweinchen,fische,wal ,delfin,schildkroete,schlange,wildschwein,hirsch,reh,nashorn,kaenguru,biber,dachs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1codz,,katzen,hunde,kamele,chamaeleons,nilpferde ,nashoerner,antilopen,robben,fische,haie,wale,vogelarten,raubtiere,loewen,panther,elefanten,luchse,fuechse,woelfe,adler,insekt,schmetterlinge,kaefer,quallen,zebras,panther,nashoerner,orangutans,schimpansen,tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eagv,,saeugetiere,wirbeltiere,schnecken,giraffen,esel,pferd,affe,hund,katze,lebewesen,wale,delfin,walross,ameise,insekt,vogel,greifvogel,adler,seeadler,wildkatze,loewe,leopard,gepard,menschen,amphibien,reptilien,frosch,kroete,leguan,biologie,dinosaurier,termiten,wanzen,muecken,stechmuecken,moskito,schlangen,geckos,echsen,schmarotzer,bandwurm,spinne,kreuzspinne,vogelspinne,hai,hammerhai,hauskatze,gorilla,orangutan,schimpanse,bonobo,bakterien,bussard,rotkehlchen,qualle,fisch,krokodil,alligator,schnecke,weinbergschnecke,nacktschnecke,kaefer,,,,,,,,,,,,,,,,,,,,,,,,,,
1x78r,,katzen,hunde,pferde,kuehe,schweine,enten,gaense,schnecken,maeuse,ratten,voegel,luchs,baer,wolf,puma,tiger,loewe,strauss,pfau,kaenguru,iltis,voegel,seeloewe,eisbaeren,robben,fische,wal,hai,delfine,pinguine,huftiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ycc1,,elefant,loewe,esel,pferd,hahn,katze ,maus,tiger,tapir,schlange,schnecke,adler,kondor,wiesel,marder,fuchs,reh,hirsch,huhn,ente,gans,kaninchen,giraffe,lama,alpaka,marienkaeferchen,biene,tausendfuessler,schnecke,regenwurm,hund,wolf,baer,hirsch,luchs,loewe,gepard,kamel,alpaka,reiher,milan,storch,frosch,nilpferd,guerteltier,9999,natter,leguan,wal,forelle,schmetterling,hyaene,wasserbueffel,krokodil,kiwi,strauss,rabe,amsel,steinbock,gemse,kolibri,vogelspinne,ameise,,,,,,,,,,,,,,,,,,,,,,,,,
1zi3s,,affe,baer,elefant,hund,katze,hase,ameise,biene,hummel,waschbaer,fliege,muecke,ross,kuh,sau,kalb,giraffe,loewe,tiger,schlange,eidechse,maulwurf,maus,hamster,meersau,schildkroete,fisch,wal,delfin,seehund,eisbaer,koala,kaenguru,kuh,regenwurm,wuehlmaus,giraffe,seehund,viper,kreuzotter,natter,eidechse,frosch,storch,lerche,amsel,meise,rabe,kraehe,elster,pfau,grille,schabe,schildkroete,stechmuecke,tsetsefliege,maus,spitzmaus,igel,marder,nerz,chinchilla,hamster,,,,,,,,,,,,,,,,,,,,,,,,,
1zkii,,vogel,maus,katze,baer,fuchs,dachs,marder,elefant,giraffe,waschbaer,ratte,hase,feldhase,baer,adler,falke,rabe,specht,storch,wurm,ameise,insekt,leopard,giraffe,walross,nilpferd,hund,labrador,deutscher schaeferhund,deutsche dogge,golden retriever,pferde,schimmel,fisch,walfisch,delfin,mammifère,goldfisch,haifisch,nemofisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28aqw,,esel,nilpferd,zwergflusspferd,brillenbaer,malaysia baer,orangutan,gorilla,bonobo,schimpanse,nutria,bisamratte,elefant,panzernashorn,breitmaulnashorn,spitzmaulnashorn,leopard,gepard,loewe,ziege,schaf,sau,hund,katze,ratte,maus,mara,capybara,giraffe,zebra,pfau,stieglitz,star,spatz,biene,waschbaer,hummel,maulwurf,regenwurm,rotwurm,meise,kolibri,schlange,krokodil,zwergmanguste,meerschwein,kaninchen,hase,schneeleopard,mufflon,klippschliefer,erdmaennchen,flamingo,lisztaffe,fisch,muntjak,zwergotter,fischotter,okapi,zwergzebu,zwerggeiss,storch,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bwmd,,loewe,schildkroete,schlange,ratte,katze,kuh,giraffe,krokodil,alligator,moewe,igel,hund,katze,frettchen,wildschwein,schwein,baer,frosch,wurm,geier,kamel,elefant,zebra,nilpferd,lamm,schaf,hamster,papagei,tiger,puma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nmr6,,hund,katze,maus,ratte,wal,delfin,hai,qualle,tintenfisch,kugelfisch,clownfisch,loewe,tiger,elefant,gnu,leopard,gepard,tapir,hyaene,antilope,giraffe,ameise,spinne,tausendfuessler,kellerassel,marder,wolf,hamster,meerschweinchen,frettchen,adler,reiher,bussard,kanarienvogel,papagei,pelikan,schnabeltier,eisvogel,seepferdchen,schwein,kuh,pferd,huhn,pute,kaninchen,hase,nerz,polarfuchs,eisbaer,braunbaer,schwarzbaer,grizzlybaer,springmaus,erdmaennchen,eichhoernchen,orka,steinbock,flamingo,stachelschwein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2pfiy,,hund,katze,maus,giraffe,krokodil,ratte,schaf,ziege,schlange,spinne,raupe,schmetterling,vogel,strauss,biene,wespe,affe,gorilla,totenkopfaeffchen,qualle,rochen,hai,seeigel,seepferdchen,seealgen,seestern,aale,tiger,loewe,leopard,nilpferd,kuh,schwein,pferd,lamm,huhn,gans,ente,lachs,kaenguru,beuteltier,floehe,fledermaus,eule,gazelle,elefant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2rgd0,,hund,katze,maus,kuh,antilope,tiger,erdmaennchen,kakerlake,vogel,hyaene,meerschweinchen,schwein,huhn,kueken,marder,rennmaus,schlange,frosch,stinktier,aal,raupe,wurm,marienkaefer,stier,elch,hirsch,kohlmeise,amsel,rabe,taube,maulwurf,stachelschwein,nacktmull,gnu,kormoran,pfau,minipig,pandabaeren,koalas,kaengurus,eisbaeren,pinguine,seerobben,fische,geissbock,ziege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2vszu,,maus,wurm,pferd,vogel,pelikan,affe,giraffe,loewe,tiger,panther,huhn,hase,fuchs,wolf,baer,hirsch,elch,gazelle,schlange,gibbon,fisch,walfisch,haifisch,hecht,forelle,krebs,hummer,muschel,wuermer,adler,moewe,albatross,ente,schwan,flamingo,kranich,kleiber,uhu,zaunkoenig,kamel,dromedar,eidechse,moskito,fliege,muecken,schmetterling,tintenfisch,oktopus,decapoden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308qp,,affen,pferde,kaengurus,giraffen,nilpferde ,katzen,hunde,maus,ente,schwein,schaf,ziege,kuh,voegel,fische,leopard,elefant,wal,oktopus,qualle,schrimps,nasenbaer,guerteltier,schlangen,froesche,kroeten,kaefer,fliegen,schnecken,maulwurf,schmetterlinge,maikaefer,libellen,paviane,pinguine,huehner,nilpferde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345j,,fisch,schlange,schildkroete,krokodil,nilpferd,vogel strauss,zebra,affe,papagei,vogel,elefant,nutria,giraffe,alligator,loewe,kakerlake,termite,zebu,okapi,nashorn,geier,pinguin,seehund,bueffel,stier,kuh,hund,katze,maus,schwein,schaf,geiss,pferd,pony,huhn,esel,kaenguru,spinne,hamster,ratte,fuchs,wolf,elch,hirsch,gemse,murmeltier,ameise,fliege,biene,wespe,hummel,hornisse,baer,tukan,pelikan,storch,kamel,lama,dromedar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3koq0,task aborted by participant after 30 seconds,elefant,adler,fisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3lwnu,,murmeltiere,katze,hund,loewen,geparden,hyaenen,voegel,strauss,kleiber,zaunkoenig,huftier,bueffel,luchs,fuchs,wildsaeue,hirsche,reh,lachs,dachs,biber,schakal,hyaene,strauss,erdmaennchen,schlange,python,ringelnatter,ameisenbaer,biene,wespe,hummel,koenigsnatter,python,ameise,spinne,skorpione,ruesselkaefer,marienkaefer,maikaefer,bienenfresser,guerteltier,hummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3o4up,,hund,katze,maus,giraffe,elefant,loewe,leopard,gazelle,antilope,fisch,vogel,kuh,schwein,huhn,pferd,esel,ratte,affe,seeloewe,robbe,delfin,walross,dinosaurier,mammut,kamel,dromedar,puma,gecko,eidechse,schlange,schakal,eisbaer,viper,natter,laus,elster,amsel,fink,star,drossel,gimpel,zaunkoenig,tiger,lama,fuchs,wolf,reh,hirsch,wildschwein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48uu8,,hund,katze,kuh,kalb,pferd,loewe,stier,schwein,wildschwein,rind,esel,kamel,tiger,zebra,pinguin,fink,bergfink,mehlschwalbe,rauchschwalbe,blaumeise,kohlmeise,tannenmeise,zaunkoenig,hai,wal,weissfisch,nase,lachs,salm,meerschweinchen,hamster,maus,spitzmaus,ratte,dachs,luchs,wolf,baer,braunbaer,eisbaer,grizzly,koala,kaenguru,fuchs,biber,fischotter,brachse,wels,flamingo,storch,adler,falke,turmfalke,uhu,eule,buntspecht,grauspecht,gruenspecht,eisvogel,stichling,goldfisch,frosch,kroete,heuschrecke,marienkaefer,maikaefer,stechmuecke,eintagsfliege,bremse,giraffe,okapi,,,,,,,,,,,,,,,,,
4ct26,participant did not follow task instructions,hund,katze,pferd,maus,ratte,schlange,loewe,giraffe,elefant,tiger,zoo,fauna,kaefer,reptilien,fische,beuteltier,guerteltier,nashorn,nilpferd,tierheim,futter,wilderei,raubkatzen,safari,haustier,tierbedarf,schildkroeten,raben,falke,adler,geier,saeugetiere,wirbellose,tierhaarallergie,wildnis,dschungel,wueste,fell,panzer,schnabel,dokumentation,reitsport,hundeschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fsra,,hunde,katze,vogel,schlangen,raupen,ameisen,insekten,giraffen,loewe,hase,reh,fuchs,wildschwein,fliege,biene,hornisse,wespe,fische,kraken,haifisch,muscheln,baeren,wolf,luchs,rotkehlchen,fink,blaumeise,kohlmeise,amsel,star,elster,kohlkrabe,spatz,goldammer,rotkehlchen,zaunkoenig,stieglitz,wiedehopf,eidechse,schnecken,igel,iltis,frettchen,marder,fledermaus,spitzmaus,wuehlmaus,maulwurf,raupe,regenwurm,zecke,adler,ameise,fische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4krz4,,hase,fuchs,katze,hund,maus,ratte,hamster,meerschweinchen,pferd,pony,chinchilla,schlange,gecko,salamander,wurm,schmetterling,kaefer,drossel,amsel,nachtigall,schwan,ente,storch,frosch,kaenguru,zebra,nashorn,einhorn,giraffe,wolf,bison,dromedar,alpaka,kamel,schwein,wildschwein,kuh,katzenhai,hammerhai,feuerfisch,clownfisch,kofferfisch,kugelfisch,qualle,rochen,aal,weisser hai,blauwal,killerwal,basilisk,schildkroete,spatz,vogelspinne,schwarze spinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50v87,,elefant,giraffe,loewe,tiger,jaguar,nilpferd,krokodil,ameise,nasenbaer,pinguin,eule,hamster,dachs,schlange,oktopus,wal,haifisch,delfin,tausendfuessler,waschbaer,siebenschlaefer,eichhoernchen,reh,hirsch,kudu,blindschleiche,forelle,zebra,qualle,manguste,ringelnatter,papagei,pandabaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ir67,,fuchs,hirsch,schaeferhund,eule,hauskatze,schwein,kuh,schaf,ziege,rind,huhn,giraffe,elefant,seehund,pinguin,schimpanse,gorilla,orangutan,kaenguru,dingo,kreuzspinne,schwarze witwe,vogelspinne,puffin,schwarze mamba,kobra,maus,ratte,igel,seeigel,thunfisch,blauwal,pottwal,grindwal,schwertwal,weisser hai,hammerhai,dornhai,katzenhai,thunfisch,barsch,forelle,hecht,tiger,loewe,nashorn,nilpferd,seepferd,krokodil,gecko,feuersalamander,koalabaer,rochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6k05w,,hund,katze,elefant,affe,vogel,tiger,loewe,gepard,leopard,jaguar,eisbaer,baer,kaenguru,kaninchen,hase,papagei,wellensittich,falke,adler,albatross,pinguin,leguan,waran,krokodil,schlange,maus,chinchilla,hamster,meersaeue,ross,kuh,stier,rind,schaf,geiss,yak,bueffel,bison,braunbaer,grizzlybaer,fisch,hai,wal,delfin,orka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ukjc,,affen,kuehe,schweine,saeue,schafe,huehner,enten,gaense,hunde,katzen,loewen,tiger,voegel,schlangen,schnecken,baeren,leoparden,tiger,rehe,hirsche,pferde,esel,giraffen,flusspferd,krokodil,papageien,tauben,wildkatzen,schwaene,seehund,eisbaer,orangutan,koala,kaenguru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710xt,,kuh,esel,schaf,hund,katze,kaninchen,kaenguru,loewe,tiger,puma,elefant,zebra,kaenguru,giraffe,affe,walross,eisbaer,tintenfisch,fisch,qualle,biber,eichhoernchen,voegel,bison,bueffel,kuehe,ross,pferde,ameisen,kaefer,spinnen,muecken,bienen,wespen,hornissen,schmetterlinge,fliegen,falter,bussarde,marder,wiesel,otter,ratten,maeuse,maulwurf,faultier,baeren,elche,rentiere,rehe,hirsche,fuchs,wolf,nerz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729dc,,hund,katze,maus,elefant,giraffe,rhinozeros,flusspferd,zebra,loewe,leopard,panther,serval,okapi,gnu,kudu,grosser kudu,kaenguru,emu,strauss,lama,adler,kohlmeise,spatz,amsel,drossel,fink,star ,gruenspecht,schwarzspecht,ente,taucherente,schwan,kohlmeise,blaumeise,schwan,ente,walfisch,forelle,stoer,thunfisch,delfin,schwertfisch,kugelfisch,haifisch,pottwal,delfin,seestern,spinne,ameise,biene,wespe,hummel,stechmuecke,fliege,schabe,kaefer,stinkkaefer,mistkaefer,kroete,frosch,glockenfrosch,erdkroete,grasfrosch,salamander,feuersalamander,specht,gruenspecht,reiher,hoeckerschwan,,,,,,,,,,,,,,,,,,,
75hrf,,hund,katze,esel,pferd,biene,waschbaer,heuschrecke,tiger,loewe,gepard,nashorn,elefant,otter,storch,dackel,baer,kaefer,marienkaefer,maikaefer,haifisch,walfisch,delfin,thunfisch,schildkroete,meeresschildkroete,blauwal,buckelwal,pottwal,krebs,hummer,papagei,pinguin,leopard,eichhoernchen,streifenhoernchen,fuchs,dachs,igel,schildkroete,aal,tigerhai,sandhai,zitronenhai,mantarochen,zitterrochen,seepferdchen,fetzenfisch,oktopus,sepia,hirsch,reh,rentier,maulpferd,zebra,okapi,giraffe,loewen,woelfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dfnm,,hase,katze,hund,pferd,kuh,schwein,ziege,schaf,meerschweinchen,hamster,loewe,tiger,leopard,panther,gepard,elefant,zebra,gnu,antilope,delfin,hai,schwertwal,wal,ameise,fliege,schmetterling,hornisse,hummel,biene,wespe,rabe,sperling,falke,adler,geier,schlange,echse,waran,braunbaer,eisbaer,schwarzbaer,grizzly,elch,bison,rentier,wolf,schakal,fuchs,luchs,steinbock,gemse,ratte,maus,igel,maulwurf,regenwurm,kaefer,spinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gcjm,,hund,katze,maus,elefant,giraffe,loewe,nashorn,gnu,australian shepherd,schaeferhund,hamster,greifvoegel,enten,schwaene,meisen,amseln,katzen,komodore,chamaeleons,krokodile,tierheimhunde,schosshunde,hauskatzen,katzenaugen,strassenkoeter,bastarde,labortiere,affen,maeuse,ratten,tierfutter,schlangen,zebras,ottern,kreuzottern,nager,bisamratten,schwaene,stoerche,zugvoegel,langschlaefer,winterschlaefer,baeren,siebenschlaefer,warane,haustiere,wildtiere,zootiere,park,eichhoernchen,kuscheltiere,baeren,disneymaeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7hgj7,,saeugetiere,katze,maus,hund,schaf,rind,tiger,gepard,loewen,hyaenen,beuteltiere,kaengurus,reptilien,schlangen,spinnen,kaefer,wuermer,echsen,komodowarane,warane,voegel,adler,amsel,tauben,eulen,uhus,ratten,hamster,zwerghamster,goldhamster,goldfisch,papagei,kanarienvogel,fische,wale,delfin,buckelwal,aal,haifische,schwertfisch,hammerhai,weisser hai,tintenfische,oktopusse,seepferdchen,anemonen,buckelwal,blauwal,plankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7jwhv,,affe,giraffe,katze,hund,tiger,meerschweinchen,schwein,pinguin,hamster,tiger,loewe,delfin,fisch,tintenfisch,vogel,papagei,schlange,spinne,eidechse,wurm,baer,reh,hirsch,kuh,ziege,gepard,puma,frosch,huhn,hai,wal,robbe,kaenguru,koala,possum,zebra,gazelle,nilpferd,nashorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7k63d,,pferd,krokodil,hund,katze,vogel,maus,elefant,tiger,panther,ratte,fliege,biene,hummel,muecke,zecke,kuh,schwein,ziege,schaf,affe,ameisenbaer,fisch,aal,rochen,goldfisch,stoer,hai,wal,guppys,zebrafisch,seepferdchen,marder,geier,wanze,laus,zecke,nisse,kaenguru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7lowo,,hase,katze,hund,fisch,vogel,elefant,elch,reh,hirsch,fuchs,wolf,nilpferd,krokodil,walross,seehund,delfin,haifisch,papagei,kondor,adler,bussard,geier,seeadler,reiher,fischreiher,storch,wiesel,eichhoernchen,marder,iltis,schneehase,schneehuhn,auerhahn,ente,fischreiher,graureiher,silberreiher,loewe,tiger,puma,panther,leopard,gepard,nashorn,affe,schimpanse,gorilla,orangutan,rentier,elch,stachelschwein,baer,grizzly,schwarzbaer,eisbaer,kuh,pferd,schlange,eidechse,waran,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7pfa7,,hund,katze,maus,affe,tiger,loewe,zebra,hase,reh,hirsch,igel,fisch,tintenfisch,wal,delfin,spinne,biene,wespe,kaefer,ameise,wolf,gans,huhn,schwein,esel,pferd,ente,ziege,wurm,regenwurm,star,amsel,drossel,adler,geier,schwalbe,krokodil,schildkroete,delfin,schlange,ratte,meerschweinchen,hamster,katze,murmeltier,faultier,skorpion,antilope,leopard,star,drossel,taube,assel,kellerassel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86tkn,,hund,katze,maus,hase,eber,wildschwein,fuchs,luchs,loewe,giraffe,nilpferd,otter,biber,nagetiere,hamster,maulwurf,schlangen,fliegen,muecken,maeuse,springmaeuse,falke,rabe,seeadler,karpfen,welse,goldfische,dorade,hecht,baer,grizzlybaer,pandabaer,koalabaer,kaenguru,seeadler,rind,kalb,pferde,bisons,bueffel,keiler,eber,nashoerner,gnus,zebras,antilopen,geparde,leoparde,schnecken,schmetterlinge,raupen,wuermer,kreuzspinnen,raben,otter,welse,buntbarsche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dif7,,elefanten,loewen,schlangen,fische,zebras,nilpferde,rhinozerosse,giraffen,pumas,panther,katzen,hunde,meerschweine,hasen,kaninchen,pferde,schweine,kuehe,ziegen,adler,maeusebussarde,papageien,kanarienvoegel,dolen,raben,wiesel,marder,maeuse,ratten,kaengurus,wale,seepferde,aale,grashuepfer,grillen,insekten,larven,laeuse,ameisen,flamingos,drachen,affen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dp7d,,baer,fisch,elefant,tiger,ratte,maus,hirschkaefer,mistkaefer,skarabaeus,anemone,muschel,vogel,robbe,walfisch,kamel,lama,alpaka,schildkroete,smaragdeidechse,boa,otter,viper,grille,katze,hund,assel,nashorn,nilpferd,schmetterling,falter,wurm,engerling,marder,mensch,antilope,ducker,steinbock,gemse,ziege,schaf,kuh,ross,esel,okapi,giraffe,oryxantilope,hecht,barsch,forelle,nase,aesche,waller,bleie,stoer,marlin,thunfisch,muraene,seeaal,normalaal,schmeissfliege,eintagsfliege,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fvat,,affe,adler,antilope,baer,biber,braunbaer,chinchilla,dammhirsch,esel,eber,esel,fisch,gnu,gazelle,hund,hamster,igel,luchs,nasenbaer,nilpferd,otter,panther,qualle,schwein,panther,tiger,loewe,zebra,schneeleopard,affe,pinguin,elefant,orangutan,schimpanse,klammeraffe,bueffel,pony,pferd,zebu,ziege,schlange,echse,hai,katze,meerschweinchen,hamster,ratte,maus,huhn,rind,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8g0yu,,kuh,hund,affe,giraffe,elefant,nashorn,katze,tiger,loewe,pferd,maultier,geiss,steinbock,gemse,pferd,esel,maulesel,voegel,kakadu,papagei,fische,forelle,hecht,regenwurm,insekten,maus,biber,otter,schlange,voegel,insekten,primaten,rentiere,saeugetiere,schlangen,walfische,eisbaeren,pinguine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
